ticker	company_name	sector	industry	general_description	customers	products_services	hq_location	exchange	country	logo_url
CRSP	CRISPR Therapeutics AG	Health Care	Biotechnology	Gene editing technology	Healthcare providers	"CRISPR gene editing, Cell therapy, Genetic diseases"	"Zug, Switzerland"	NASDAQ	Switzerland	https://logo.clearbit.com/crisprtx.com
EDIT	Editas Medicine Inc.	Health Care	Biotechnology	Gene editing therapeutics	Healthcare providers	"CRISPR gene editing, Ophthalmology, Oncology"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/editasmedicine.com
NTLA	Intellia Therapeutics Inc.	Health Care	Biotechnology	CRISPR gene editing	Healthcare providers	"In vivo gene editing, Genetic diseases, Oncology"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/intelliatx.com
BEAM	Beam Therapeutics Inc.	Health Care	Biotechnology	Base editing technology	Healthcare providers	"Base editing, Genetic diseases, Cancer"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/beamtx.com
PRIME	Prime Medicine Inc.	Health Care	Biotechnology	Prime editing technology	Healthcare providers	"Prime editing, Genetic diseases, Inherited disorders"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/primemedicine.com
VERV	Verve Therapeutics Inc.	Health Care	Biotechnology	Gene editing for cardiovascular	Healthcare providers	"Cardiovascular gene editing, Cholesterol, Heart disease"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/vervetx.com
DTIL	Precision BioSciences	Health Care	Biotechnology	Gene editing and cell therapy	Healthcare providers	"ARCUS gene editing, Cell therapy, Cancer"	"Durham, North Carolina"	NASDAQ	USA	https://logo.clearbit.com/precisionbiosciences.com
SGMO	Sangamo Therapeutics Inc.	Health Care	Biotechnology	Genomic medicine	Healthcare providers	"Gene therapy, Cell therapy, Genetic diseases"	"Brisbane, California"	NASDAQ	USA	https://logo.clearbit.com/sangamo.com
FOLD	Amicus Therapeutics Inc.	Health Care	Biotechnology	Rare disease treatments	Healthcare providers	"Lysosomal storage disorders, Gene therapy, Pharmacological chaperones"	"Philadelphia, Pennsylvania"	NASDAQ	USA	https://logo.clearbit.com/amicusrx.com
RARE	Ultragenyx Pharmaceutical	Health Care	Biotechnology	Rare disease treatments	Healthcare providers	"Genetic diseases, Rare diseases, Gene therapy"	"Novato, California"	NASDAQ	USA	https://logo.clearbit.com/ultragenyx.com
IONS	Ionis Pharmaceuticals Inc.	Health Care	Biotechnology	Antisense therapeutics	Healthcare providers	"RNA-targeted drugs, Neurological diseases, Cardiovascular"	"Carlsbad, California"	NASDAQ	USA	https://logo.clearbit.com/ionispharma.com
AKRO	Akero Therapeutics Inc.	Health Care	Biotechnology	Metabolic disease therapeutics	Healthcare providers	"NASH, Metabolic diseases, Liver diseases"	"South San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/akerotx.com
ALNY	Alnylam Pharmaceuticals	Health Care	Biotechnology	RNAi therapeutics	Healthcare providers	"RNA interference, Genetic diseases, Rare diseases"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/alnylam.com
ARWR	Arrowhead Pharmaceuticals	Health Care	Biotechnology	RNAi therapeutics	Healthcare providers	"RNA interference, Hepatitis B, Cardiovascular"	"Pasadena, California"	NASDAQ	USA	https://logo.clearbit.com/arrowheadpharma.com
MDGL	Madrigal Pharmaceuticals	Health Care	Biotechnology	Liver disease therapeutics	Healthcare providers	"NASH, Liver diseases, Metabolic disorders"	"Conshohocken, Pennsylvania"	NASDAQ	USA	https://logo.clearbit.com/madrigalpharma.com
VRTX	Vertex Pharmaceuticals	Health Care	Biotechnology	Serious disease treatments	Healthcare providers	"Cystic fibrosis, Pain, Alpha-1 antitrypsin deficiency"	"Boston, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/vrtx.com
UTHR	United Therapeutics Corp.	Health Care	Biotechnology	Pulmonary hypertension drugs	Healthcare providers	"Pulmonary arterial hypertension, Lung transplant, Organ manufacturing"	"Silver Spring, Maryland"	NASDAQ	USA	https://logo.clearbit.com/unither.com
JAZZ	Jazz Pharmaceuticals plc	Health Care	Pharmaceuticals	Specialty pharmaceuticals	Healthcare providers	"Sleep disorders, Oncology, Neuroscience"	"Dublin, Ireland"	NASDAQ	Ireland	https://logo.clearbit.com/jazzpharma.com
HZNP	Horizon Therapeutics plc	Health Care	Pharmaceuticals	Rare disease medicines	Healthcare providers	"Rare diseases, Rheumatology, Orphan drugs"	"Dublin, Ireland"	NASDAQ	Ireland	https://logo.clearbit.com/horizontherapeutics.com
PTCT	PTC Therapeutics Inc.	Health Care	Biotechnology	Rare disease treatments	Healthcare providers	"Rare diseases, Genetic disorders, Oncology"	"South Plainfield, New Jersey"	NASDAQ	USA	https://logo.clearbit.com/ptcbio.com
SRPT	Sarepta Therapeutics Inc.	Health Care	Biotechnology	RNA-based therapeutics	Healthcare providers	"Duchenne muscular dystrophy, Genetic diseases, RNA therapy"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/sarepta.com
BCYC	Bicycle Therapeutics plc	Health Care	Biotechnology	Bicyclic peptide therapeutics	Healthcare providers	"Immuno-oncology, Targeted cancer therapy, Radiopharmaceuticals"	"Cambridge, United Kingdom"	NASDAQ	United Kingdom	https://logo.clearbit.com/bicycletherapeutics.com
IMVT	Immunovant Inc.	Health Care	Biotechnology	Autoimmune disease treatments	Healthcare providers	"FcRn antagonist, Autoimmune diseases, Immunology"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/immunovant.com
RGNX	REGENXBIO Inc.	Health Care	Biotechnology	Gene therapy platform	Healthcare providers	"AAV gene therapy, Genetic diseases, Ophthalmology"	"Rockville, Maryland"	NASDAQ	USA	https://logo.clearbit.com/regenxbio.com
BOLD	Boundless Bio Inc.	Health Care	Biotechnology	Oncology therapeutics	Healthcare providers	"Extrachromosomal DNA, Cancer therapy, Precision oncology"	"San Diego, California"	NASDAQ	USA	https://logo.clearbit.com/boundlessbio.com
KROS	Keros Therapeutics Inc.	Health Care	Biotechnology	Protein therapeutics	Healthcare providers	"Blood disorders, Bone diseases, Pulmonary diseases"	"Lexington, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/kerospharmaceuticals.com
COGT	Cogent Biosciences Inc.	Health Care	Biotechnology	Precision oncology	Healthcare providers	"Hematologic malignancies, Solid tumors, Targeted therapy"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/cogentbio.com
PRTA	Prothena Corporation plc	Health Care	Biotechnology	Protein misfolding diseases	Healthcare providers	"Neurodegenerative diseases, Amyloidosis, Antibody therapy"	"Dublin, Ireland"	NASDAQ	Ireland	https://logo.clearbit.com/prothena.com
RVMD	Revolution Medicines Inc.	Health Care	Biotechnology	Targeted oncology therapeutics	Healthcare providers	"RAS inhibitors, Precision oncology, Solid tumors"	"Redwood City, California"	NASDAQ	USA	https://logo.clearbit.com/revmed.com
DAWN	Day One Biopharmaceuticals	Health Care	Biotechnology	Pediatric oncology	Healthcare providers	"Pediatric cancer, Rare tumors, Precision medicine"	"Brisbane, California"	NASDAQ	USA	https://logo.clearbit.com/dayonebio.com
RCKT	Rocket Pharmaceuticals Inc.	Health Care	Biotechnology	Gene therapy	Healthcare providers	"Gene therapy, Rare diseases, Genetic disorders"	"Cranbury, New Jersey"	NASDAQ	USA	https://logo.clearbit.com/rocketpharma.com
AGIO	Agios Pharmaceuticals Inc.	Health Care	Biotechnology	Cellular metabolism	Healthcare providers	"Cancer metabolism, Rare genetic diseases, Genetically defined diseases"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/agios.com
MRUS	Merus N.V.	Health Care	Biotechnology	Multispecific antibodies	Healthcare providers	"Oncology, Immunotherapy, Bispecific antibodies"	"Utrecht, Netherlands"	NASDAQ	Netherlands	https://logo.clearbit.com/merus.nl
IMCR	Immunocore Holdings plc	Health Care	Biotechnology	T cell receptor therapeutics	Healthcare providers	"Immuno-oncology, T cell therapy, Cancer immunotherapy"	"Oxfordshire, United Kingdom"	NASDAQ	United Kingdom	https://logo.clearbit.com/immunocore.com
TCDA	Tricida Inc.	Health Care	Biotechnology	Kidney disease therapeutics	Healthcare providers	"Chronic kidney disease, Metabolic acidosis, Nephrology"	"South San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/tricida.com
ORIC	Oric Pharmaceuticals Inc.	Health Care	Biotechnology	Precision oncology	Healthcare providers	"Cancer resistance, Precision medicine, Targeted therapy"	"Menlo Park, California"	NASDAQ	USA	https://logo.clearbit.com/oricpharma.com
FATE	Fate Therapeutics Inc.	Health Care	Biotechnology	Cellular immunotherapy	Healthcare providers	"iPSC-derived cell therapy, Cancer immunotherapy, Immune effector cells"	"San Diego, California"	NASDAQ	USA	https://logo.clearbit.com/fatetherapeutics.com
ZLAB	Zai Lab Limited	Health Care	Biotechnology	Oncology and autoimmune diseases	Healthcare providers	"Cancer therapy, Autoimmune diseases, Infectious diseases"	"Shanghai, China"	NASDAQ	China	https://logo.clearbit.com/zailab.com
BGNE	BeiGene Ltd.	Health Care	Biotechnology	Oncology therapeutics	Healthcare providers	"Cancer immunotherapy, Targeted therapy, Global oncology"	"Beijing, China"	NASDAQ	China	https://logo.clearbit.com/beigene.com
LEGN	Legend Biotech Corporation	Health Care	Biotechnology	Cell therapy	Healthcare providers	"CAR-T therapy, Multiple myeloma, Cell and gene therapy"	"Somerset, New Jersey"	NASDAQ	USA	https://logo.clearbit.com/legendbiotech.com
KYMR	Kymera Therapeutics Inc.	Health Care	Biotechnology	Targeted protein degradation	Healthcare providers	"Protein degradation, Oncology, Immunology"	"Watertown, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/kymeratx.com
AVTR	Avantor Inc.	Health Care	Life Sciences Tools	Life sciences and advanced technologies	Research institutions	"Laboratory supplies, Chemicals, Services"	"Radnor, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/avantorsciences.com
CTLT	Catalent Inc.	Health Care	Life Sciences Tools	Drug delivery and development	Pharmaceutical companies	"Drug development, Manufacturing, Packaging"	"Somerset, New Jersey"	NYSE	USA	https://logo.clearbit.com/catalent.com
CDMO	Avid Bioservices Inc.	Health Care	Life Sciences Tools	Contract development and manufacturing	Biotechnology companies	"Biologics manufacturing, Process development, Testing"	"Tustin, California"	NASDAQ	USA	https://logo.clearbit.com/avidbio.com
WVE	Wave Life Sciences Ltd.	Health Care	Biotechnology	Genetic medicines	Healthcare providers	"Antisense oligonucleotides, Genetic diseases, CNS disorders"	"Singapore, Singapore"	NASDAQ	Singapore	https://logo.clearbit.com/wavelifesciences.com
MRTX	Mirati Therapeutics Inc.	Health Care	Biotechnology	Precision oncology	Healthcare providers	"KRAS inhibitors, Targeted cancer therapy, Precision medicine"	"San Diego, California"	NASDAQ	USA	https://logo.clearbit.com/mirati.com
ACRX	AcelRx Pharmaceuticals Inc.	Health Care	Biotechnology	Acute care therapeutics	Healthcare providers	"Pain management, Acute care, Sublingual drug delivery"	"Redwood City, California"	NASDAQ	USA	https://logo.clearbit.com/acelrx.com
RDUS	Radius Health Inc.	Health Care	Biotechnology	Bone and muscle therapeutics	Healthcare providers	"Osteoporosis, Bone diseases, Endocrine disorders"	"Boston, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/radiuspharm.com
SYRS	Syros Pharmaceuticals Inc.	Health Care	Biotechnology	Gene control therapeutics	Healthcare providers	"Cancer, Monogenic diseases, Gene regulation"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/syros.com
SCPH	scPharmaceuticals Inc.	Health Care	Biotechnology	Cardiovascular disease treatments	Healthcare providers	"Heart failure, Cardiovascular diseases, Subcutaneous delivery"	"Lexington, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/scpharma.com
PRVB	Provention Bio Inc.	Health Care	Biotechnology	Autoimmune and inflammatory diseases	Healthcare providers	"Type 1 diabetes, Autoimmune diseases, Immunotherapy"	"Red Bank, New Jersey"	NASDAQ	USA	https://logo.clearbit.com/proventionbio.com
ALLK	Allakos Inc.	Health Care	Biotechnology	Inflammatory and allergic diseases	Healthcare providers	"Eosinophilic diseases, Allergic diseases, Immunology"	"Redwood City, California"	NASDAQ	USA	https://logo.clearbit.com/allakos.com
SPRO	Spero Therapeutics Inc.	Health Care	Biotechnology	Antibiotic treatments	Healthcare providers	"Bacterial infections, Antibiotic resistance, Infectious diseases"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/sperotherapeutics.com
NXTC	NextCure Inc.	Health Care	Biotechnology	Immunotherapy	Healthcare providers	"Cancer immunotherapy, Immune checkpoint inhibitors, Autoimmune diseases"	"Beltsville, Maryland"	NASDAQ	USA	https://logo.clearbit.com/nextcure.com
VERA	Vera Therapeutics Inc.	Health Care	Biotechnology	Kidney disease treatments	Healthcare providers	"Kidney diseases, Autoimmune diseases, Complement inhibition"	"South San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/veratx.com
PBYI	Puma Biotechnology Inc.	Health Care	Biotechnology	Oncology therapeutics	Healthcare providers	"Breast cancer, HER2-positive cancer, Targeted therapy"	"Los Angeles, California"	NASDAQ	USA	https://logo.clearbit.com/pumabiotechnology.com
PTGX	Protagonist Therapeutics Inc.	Health Care	Biotechnology	Peptide therapeutics	Healthcare providers	"Inflammatory bowel disease, Hematology, Peptide drugs"	"Newark, California"	NASDAQ	USA	https://logo.clearbit.com/protagonist-inc.com
GLPG	Galapagos NV	Health Care	Biotechnology	Inflammatory diseases	Healthcare providers	"Rheumatoid arthritis, Inflammatory diseases, JAK inhibitors"	"Mechelen, Belgium"	NASDAQ	Belgium	https://logo.clearbit.com/glpg.com
ARCT	Arcturus Therapeutics Holdings	Health Care	Biotechnology	RNA medicines	Healthcare providers	"mRNA therapeutics, Liver diseases, Vaccines"	"San Diego, California"	NASDAQ	USA	https://logo.clearbit.com/arcturusrx.com
KDNY	Chinook Therapeutics Inc.	Health Care	Biotechnology	Kidney disease therapeutics	Healthcare providers	"Kidney diseases, Rare diseases, Precision medicine"	"Seattle, Washington"	NASDAQ	USA	https://logo.clearbit.com/chinooktherapeutics.com
MDXG	MiMedx Group Inc.	Health Care	Biotechnology	Regenerative medicine	Healthcare providers	"Wound care, Tissue grafts, Regenerative biologics"	"Marietta, Georgia"	NASDAQ	USA	https://logo.clearbit.com/mimedx.com
ONCT	Oncternal Therapeutics Inc.	Health Care	Biotechnology	Oncology therapeutics	Healthcare providers	"Cancer therapy, Hematologic malignancies, Targeted therapy"	"San Diego, California"	NASDAQ	USA	https://logo.clearbit.com/oncternal.com
TNXP	Tonix Pharmaceuticals Holding	Health Care	Biotechnology	Central nervous system disorders	Healthcare providers	"PTSD, Pain, Infectious diseases"	"Chatham, New Jersey"	NASDAQ	USA	https://logo.clearbit.com/tonixpharma.com
AXSM	Axsome Therapeutics Inc.	Health Care	Biotechnology	CNS disorders	Healthcare providers	"Depression, Migraine, Central nervous system"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/axsome.com
KALV	KalVista Pharmaceuticals Inc.	Health Care	Biotechnology	Cardiovascular and inflammatory diseases	Healthcare providers	"Hereditary angioedema, Diabetic macular edema, Complement system"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/kalvista.com
OCGN	Ocugen Inc.	Health Care	Biotechnology	Gene and cell therapies	Healthcare providers	"Ophthalmology, Vaccines, Gene therapy"	"Malvern, Pennsylvania"	NASDAQ	USA	https://logo.clearbit.com/ocugen.com
AUTL	Autolus Therapeutics plc	Health Care	Biotechnology	T cell immunotherapies	Healthcare providers	"CAR T-cell therapy, Hematologic cancers, Solid tumors"	"London, United Kingdom"	NASDAQ	United Kingdom	https://logo.clearbit.com/autolus.com
CAPR	Capricor Therapeutics Inc.	Health Care	Biotechnology	Cell and exosome therapeutics	Healthcare providers	"Cardiomyopathy, Duchenne muscular dystrophy, Cell therapy"	"Beverly Hills, California"	NASDAQ	USA	https://logo.clearbit.com/capricor.com
CTMX	CytomX Therapeutics Inc.	Health Care	Biotechnology	Immunotherapy	Healthcare providers	"Probody therapeutics, Cancer immunotherapy, Targeted therapy"	"South San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/cytomx.com
NKTR	Nektar Therapeutics	Health Care	Biotechnology	Immunotherapy	Healthcare providers	"Cancer immunotherapy, Pain management, Polymer conjugates"	"San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/nektar.com
ADVM	Adverum Biotechnologies Inc.	Health Care	Biotechnology	Gene therapy	Healthcare providers	"Ophthalmology, Gene therapy, Retinal diseases"	"Redwood City, California"	NASDAQ	USA	https://logo.clearbit.com/adverum.com
APLS	Apellis Pharmaceuticals Inc.	Health Care	Biotechnology	Complement immunotherapy	Healthcare providers	"Geographic atrophy, Complement system, Ophthalmology"	"Waltham, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/apellis.com
XENE	Xenon Pharmaceuticals Inc.	Health Care	Biotechnology	Neurology therapeutics	Healthcare providers	"Epilepsy, Neurological disorders, Ion channels"	"Burnaby, Canada"	NASDAQ	Canada	https://logo.clearbit.com/xenon-pharma.com
AGEN	Agenus Inc.	Health Care	Biotechnology	Immuno-oncology	Healthcare providers	"Cancer vaccines, Immune checkpoint modulators, Antibodies"	"Lexington, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/agenusbio.com
ADGI	Adagio Therapeutics Inc.	Health Care	Biotechnology	Antibody therapeutics	Healthcare providers	"Infectious diseases, COVID-19, Monoclonal antibodies"	"Waltham, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/adagiotx.com
MGTX	MeiraGTx Holdings plc	Health Care	Biotechnology	Gene therapy	Healthcare providers	"Ophthalmology, CNS disorders, Salivary gland dysfunction"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/meiragtx.com
SESN	Sesen Bio Inc.	Health Care	Biotechnology	Immunotherapy	Healthcare providers	"Bladder cancer, Immunotherapy, Oncology"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/sesenbio.com
ATRA	Atara Biotherapeutics Inc.	Health Care	Biotechnology	T-cell immunotherapies	Healthcare providers	"Allogeneic T-cell immunotherapy, Cancer, Autoimmune diseases"	"South San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/atarabio.com
ADAP	Adaptimmune Therapeutics plc	Health Care	Biotechnology	T-cell therapy	Healthcare providers	"SPEAR T-cells, Solid tumors, Cancer immunotherapy"	"Philadelphia, Pennsylvania"	NASDAQ	USA	https://logo.clearbit.com/adaptimmune.com
ATRC	AtriCure Inc.	Health Care	Medical Devices	Cardiac ablation solutions	Healthcare providers	"Atrial fibrillation, Cardiac surgery, Minimally invasive surgery"	"Mason, Ohio"	NASDAQ	USA	https://logo.clearbit.com/atricure.com
SILK	Silk Road Medical Inc.	Health Care	Medical Devices	Neurovascular devices	Healthcare providers	"Carotid artery disease, Stroke prevention, Neurovascular"	"Sunnyvale, California"	NASDAQ	USA	https://logo.clearbit.com/silkroadmed.com
NEOG	Neogen Corporation	Health Care	Life Sciences Tools	Food and animal safety	Food and animal health industries	"Food safety, Animal genomics, Veterinary instruments"	"Lansing, Michigan"	NASDAQ	USA	https://logo.clearbit.com/neogen.com
OMCL	Omnicell Inc.	Health Care	Healthcare Technology	Medication management solutions	Healthcare providers	"Pharmacy automation, Medication adherence, Healthcare robotics"	"Mountain View, California"	NASDAQ	USA	https://logo.clearbit.com/omnicell.com
PHG	Koninklijke Philips N.V.	Health Care	Medical Devices	Health technology	Healthcare providers	"Medical imaging, Patient monitoring, Health informatics"	"Amsterdam, Netherlands"	NYSE	Netherlands	https://logo.clearbit.com/philips.com
PODD	Insulet Corporation	Health Care	Medical Devices	Diabetes management systems	Diabetes patients	"Insulin pump systems, Continuous glucose monitoring, Diabetes care"	"Acton, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/insulet.com
ALGN	Align Technology Inc.	Health Care	Medical Devices	Dental solutions	Dental professionals	"Invisalign, iTero scanners, Orthodontics"	"Tempe, Arizona"	NASDAQ	USA	https://logo.clearbit.com/aligntech.com
IART	Integra LifeSciences Holdings	Health Care	Medical Devices	Medical technology	Healthcare providers	"Neurosurgery, Orthopedics, Reconstructive surgery"	"Princeton, New Jersey"	NASDAQ	USA	https://logo.clearbit.com/integralife.com
NVST	Envista Holdings Corporation	Health Care	Medical Devices	Dental products and technologies	Dental professionals	"Dental equipment, Orthodontics, Dental consumables"	"Brea, California"	NYSE	USA	https://logo.clearbit.com/envistaco.com
RXDX	Prometheus Biosciences Inc.	Health Care	Biotechnology	Inflammatory bowel disease	Healthcare providers	"Ulcerative colitis, Crohn's disease, Precision medicine"	"San Diego, California"	NASDAQ	USA	https://logo.clearbit.com/prometheus-bio.com
INVA	Innoviva Inc.	Health Care	Biotechnology	Respiratory therapeutics	Healthcare providers	"COPD, Asthma, Respiratory diseases"	"Burlingame, California"	NASDAQ	USA	https://logo.clearbit.com/inva.com
INSM	Insmed Incorporated	Health Care	Biotechnology	Rare diseases	Healthcare providers	"Pulmonary diseases, Rare diseases, Inhaled therapeutics"	"Bridgewater, New Jersey"	NASDAQ	USA	https://logo.clearbit.com/insmed.com
VSTM	Verastem Inc.	Health Care	Biotechnology	Oncology therapeutics	Healthcare providers	"Cancer therapy, PI3K inhibitors, FAK inhibitors"	"Needham, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/verastem.com
CLDX	Celldex Therapeutics Inc.	Health Care	Biotechnology	Immunotherapy	Healthcare providers	"Cancer immunotherapy, Antibody-drug conjugates, Inflammatory diseases"	"Hampton, New Jersey"	NASDAQ	USA	https://logo.clearbit.com/celldex.com
HEPS	D-Market Electronic Services	Consumer Discretionary	E-commerce	E-commerce platform	Turkish consumers	"Online marketplace, Grocery delivery, Digital payments"	"Istanbul, Turkey"	NASDAQ	Turkey	https://logo.clearbit.com/hepsiburada.com
MOMO	Hello Group Inc.	Communication Services	Interactive Media	Social networking	Chinese users	"Live streaming, Social networking, Gaming"	"Beijing, China"	NASDAQ	China	https://logo.clearbit.com/hellogroup.com
YY	JOYY Inc.	Communication Services	Interactive Media	Social media platform	Global users	"Live streaming, Social networking, Video entertainment"	"Singapore, Singapore"	NASDAQ	Singapore	https://logo.clearbit.com/joyy.com
DOYU	DouYu International Holdings	Communication Services	Interactive Media	Game live streaming	Chinese gamers	"Live streaming, Gaming content, E-sports"	"Wuhan, China"	NASDAQ	China	https://logo.clearbit.com/douyu.com
WB	Weibo Corporation	Communication Services	Interactive Media	Social media platform	Chinese users	"Microblogging, Social media, Advertising"	"Beijing, China"	NASDAQ	China	https://logo.clearbit.com/weibo.com
SINA	Sina Corporation	Communication Services	Interactive Media	Digital media services	Chinese users	"News portal, Weibo, Digital advertising"	"Beijing, China"	NASDAQ	China	https://logo.clearbit.com/sina.com
SOHU	Sohu.com Limited	Communication Services	Interactive Media	Internet services	Chinese users	"Search engine, Gaming, Online video"	"Beijing, China"	NASDAQ	China	https://logo.clearbit.com/sohu.com
KC	Kingsoft Cloud Holdings	Information Technology	Software	Cloud computing services	Chinese enterprises	"Cloud infrastructure, AI services, Video cloud"	"Beijing, China"	NASDAQ	China	https://logo.clearbit.com/ksyun.com
GOTU	Gaotu Techedu Inc.	Consumer Discretionary	Education Services	Online education	Chinese students	"Online tutoring, K-12 education, Adult education"	"Beijing, China"	NYSE	China	https://logo.clearbit.com/gaotu.cn
COE	China Online Education Group	Consumer Discretionary	Education Services	Online education	Chinese students	"Online education, Vocational training, English learning"	"Beijing, China"	NYSE	China	https://logo.clearbit.com/51talk.com
LAIX	Liulishuo	Consumer Discretionary	Education Services	AI-powered education	Chinese students	"English learning, AI education, Language training"	"Shanghai, China"	NYSE	China	https://logo.clearbit.com/liulishuo.com
GSX	Gaotu Techedu Inc.	Consumer Discretionary	Education Services	K-12 online education	Chinese students	"Online tutoring, K-12 courses, Educational technology"	"Beijing, China"	NYSE	China	https://logo.clearbit.com/gaotu.cn
GSKY	GreenSky Inc.	Financials	Consumer Finance	Point-of-sale financing	Consumers and merchants	"Home improvement loans, Healthcare financing, Technology platform"	"Atlanta, Georgia"	NASDAQ	USA	https://logo.clearbit.com/greensky.com
TREE	LendingTree Inc.	Financials	Consumer Finance	Online lending marketplace	Consumers	"Loan comparison, Mortgage, Personal loans"	"Charlotte, North Carolina"	NASDAQ	USA	https://logo.clearbit.com/lendingtree.com
LC	LendingClub Corporation	Financials	Consumer Finance	Digital banking	Consumers	"Personal loans, Auto refinancing, Digital banking"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/lendingclub.com
ONDK	On Deck Capital Inc.	Financials	Consumer Finance	Small business lending	Small businesses	"Business loans, Lines of credit, Term loans"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/ondeck.com
ENVA	Enova International Inc.	Financials	Consumer Finance	Online financial services	Consumers	"Installment loans, Credit lines, Financial technology"	"Chicago, Illinois"	NYSE	USA	https://logo.clearbit.com/enova.com
ELVT	Elevate Credit Inc.	Financials	Consumer Finance	Credit solutions	Consumers	"Online credit, Analytics, Customer acquisition"	"Fort Worth, Texas"	NYSE	USA	https://logo.clearbit.com/elevate.com
CURO	CURO Group Holdings Corp.	Financials	Consumer Finance	Consumer lending	Consumers	"Installment loans, Credit, Financial services"	"Wichita, Kansas"	NYSE	USA	https://logo.clearbit.com/curo.com
WRLD	World Acceptance Corporation	Financials	Consumer Finance	Consumer finance	Consumers	"Installment loans, Insurance, Tax preparation"	"Greenville, South Carolina"	NASDAQ	USA	https://logo.clearbit.com/loansbyworld.com
FCFS	FirstCash Holdings Inc.	Financials	Consumer Finance	Pawn services	Consumers	"Pawn loans, Retail merchandise, Financial services"	"Fort Worth, Texas"	NASDAQ	USA	https://logo.clearbit.com/firstcash.com
EZPW	EZCORP Inc.	Financials	Consumer Finance	Pawn services	Consumers	"Pawn loans, Financial services, Retail"	"Austin, Texas"	NASDAQ	USA	https://logo.clearbit.com/ezcorp.com
QFIN	Qudian Inc.	Financials	Consumer Finance	Online small consumer credit	Chinese consumers	"Consumer credit, Financial technology, Installment loans"	"Xiamen, China"	NYSE	China	https://logo.clearbit.com/qudian.com
FINV	FinVolution Group	Financials	Consumer Finance	Online consumer finance	Chinese consumers	"Consumer loans, Financial technology, Credit assessment"	"Shanghai, China"	NYSE	China	https://logo.clearbit.com/finvgroup.com
YIREN	Yiren Digital Ltd.	Financials	Consumer Finance	Digital financial services	Chinese consumers	"Consumer credit, Wealth management, Insurance"	"Beijing, China"	NYSE	China	https://logo.clearbit.com/yirendai.com
PPDF	PPD Inc.	Health Care	Life Sciences Tools	Clinical research services	Pharmaceutical companies	"Clinical development, Laboratory services, Consulting"	"Wilmington, North Carolina"	NASDAQ	USA	https://logo.clearbit.com/ppd.com
CRO	Charles River Laboratories	Health Care	Life Sciences Tools	Drug discovery and development	Pharmaceutical companies	"Preclinical services, Laboratory services, Manufacturing"	"Wilmington, Massachusetts"	NYSE	USA	https://logo.clearbit.com/criver.com
LH	Laboratory Corporation of America	Health Care	Life Sciences Tools	Medical laboratory services	Healthcare providers	"Diagnostic testing, Drug development, Clinical trials"	"Burlington, North Carolina"	NYSE	USA	https://logo.clearbit.com/labcorp.com
DGX	Quest Diagnostics Incorporated	Health Care	Life Sciences Tools	Diagnostic information services	Healthcare providers	"Laboratory testing, Diagnostic services, Health screening"	"Secaucus, New Jersey"	NYSE	USA	https://logo.clearbit.com/questdiagnostics.com
A	Agilent Technologies Inc.	Health Care	Life Sciences Tools	Life sciences and diagnostics	Research institutions	"Analytical instruments, Diagnostics, Software"	"Santa Clara, California"	NYSE	USA	https://logo.clearbit.com/agilent.com
